공정단계,공정명,배치번호,웨이퍼위치,검사순번,결함유형,불량여부,가로길이,세로길이,검출면적,직경크기,신호강도,신호극성,에너지값,기준편차,명도수준,잡음정도,중심거리,방향각도,정렬정도,점형지수,영역잡음,상대강도,활성지수,패치신호,wafer_x,wafer_y
KB425000,CBCMP,A1VXY.JI,17,19,21,REAL,0.099,0.149,0.0016,0.149,245,-1,1285,182,959,117,139504,277,1.0,10.0244,23.2762,234,1.0,172,17001.26088239172,-138464.158338571
KB425000,CBCMP,A1VXY.JI,17,24,21,REAL,0.099,0.099,0.0021,0.099,328,-1,1919,177,988,244,4936,288,1.0,9.267,35.4355,329,1.0,181,1525.3078842347395,-4694.414964432878
KB425000,CBCMP,A1VXY.JI,17,30,99,REAL,0.596,0.347,0.0241,0.596,1075,1,2329,993,1515,115,51121,184,0.9999,6.2966,160.8991,1014,0.875,930,-50996.47181333247,-3566.020694273428
KB425000,CBCMP,A1VXY.JI,17,31,21,REAL,0.149,0.149,0.0026,0.149,273,-1,1569,193,1009,146,640,325,1.0,8.0315,31.023,250,1.0,163,524.2573083449546,-367.08891926466976
KB425000,CBCMP,A1VXY.JI,17,33,39,REAL,0.347,0.397,0.0125,0.397,1038,1,1607,1053,2645,140,47607,1,0.9704,8.7138,115.4951,1007,1.0,889,47599.74922331032,830.8567132597561
KB425000,CBCMP,A1VXY.JI,17,40,99,REAL,0.248,0.646,0.0222,0.646,479,1,1309,298,1487,119,146032,9,0.7001,2.9074,179.9195,524,0.709,145,144234.10375378915,22844.437798754996
KB425000,CBCMP,A1VXY.JI,17,41,21,REAL,0.894,0.546,0.0102,0.894,277,1,1474,224,1079,106,137383,16,0.9405,5.7751,47.0607,272,0.6563,212,132061.01557309408,37867.886854206794
KB425000,CBCMP,A1VXY.JI,17,42,21,REAL,0.099,0.248,0.0034,0.248,285,-1,1555,169,995,165,112872,148,1.0,4.9366,50.6702,251,1.0,82,-95720.88470936811,59813.047192530306
KB425000,CBCMP,A1VXY.JI,17,43,21,REAL,0.099,0.099,0.0013,0.099,215,-1,1272,155,812,120,86007,46,0.9998,8.0408,25.9936,210,0.5771,81,59745.48246806698,61868.25820772637
KB425000,CBCMP,A1VXY.JI,17,45,21,REAL,0.198,0.149,0.003,0.198,268,-1,1655,141,957,203,100817,139,0.9886,6.7004,40.3199,270,1.0,112,-76087.5557493192,66141.90312573597
KB425000,CBCMP,A1VXY.JI,17,46,56,REAL,0.149,0.149,0.0007,0.149,112,1,568,72,1081,80,133626,150,1.0,9.2329,12.0422,112,1.0,87,-115723.5106060994,66812.99999999999
KB425000,CBCMP,A1VXY.JI,17,53,21,REAL,0.099,0.049,0.0009,0.099,210,1,884,127,969,136,105023,74,1.0,6.2112,31.7699,198,1.0,7,28948.262019968704,100954.58709253007
KB425000,CBCMP,A1VXY.JI,17,54,99,REAL,0.099,0.099,0.0009,0.099,181,-1,864,150,1012,85,116664,118,0.9721,6.6252,29.2886,194,0.0938,84,-54770.430400853176,103008.19797329385
KB425000,CBCMP,A1VXY.JI,17,55,56,REAL,0.298,0.149,0.0032,0.298,216,1,1294,148,925,139,109972,79,0.9998,4.5238,43.2662,196,1.0,-16,20983.646839549398,107951.5046181065
KB425000,CBCMP,A1VXY.JI,17,56,56,REAL,0.149,0.149,0.002,0.149,232,1,1356,155,880,139,109972,79,0.9902,4.9076,42.9181,211,1.0,16,20983.646839549398,107951.5046181065
KB425000,CBCMP,A1VXY.JI,17,65,21,REAL,0.099,0.099,0.0017,0.099,236,-1,1340,121,806,437,81884,199,1.0,5.5276,47.8216,264,1.0,134,-77422.84304437446,-26658.822759569823
KB425000,CBCMP,A1VXY.JI,17,67,21,REAL,0.149,0.099,0.0014,0.149,175,-1,1075,118,832,427,46185,219,1.0,3.0609,104.4811,319,1.0,108,-35892.48622989019,-29065.16226063675
KB425000,CBCMP,A1VXY.JI,17,69,21,REAL,0.149,0.099,0.0015,0.149,234,-1,1644,140,878,146,74482,331,1.0,5.0474,46.8191,236,1.0,-26,65143.42502715648,-36109.59013518767
KB425000,CBCMP,A1VXY.JI,17,70,21,REAL,0.248,0.447,0.0044,0.447,260,-1,1715,200,922,143,74482,331,1.0,5.6398,46.3051,261,1.0,26,65143.42502715648,-36109.59013518767
KB425000,CBCMP,A1VXY.JI,17,71,21,REAL,0.198,0.198,0.0047,0.198,277,-1,1897,248,809,123,67163,212,1.0,9.0637,33.1482,300,1.0,246,-56957.454282154045,-35590.96754369474
KB425000,CBCMP,A1VXY.JI,17,74,21,REAL,0.099,0.049,0.0045,0.099,710,-1,4287,104,771,886,94470,324,1.0,2.8404,188.8922,537,1.0,-31,76427.83545860127,-55528.072784069955
KB425000,CBCMP,A1VXY.JI,17,81,21,REAL,0.099,0.049,0.001,0.099,197,-1,1117,108,787,140,105386,315,1.0,7.6395,24.1296,185,1.0,69,74519.15524212547,-74519.15524212552
KB425000,CBCMP,A1VXY.JI,17,83,21,REAL,0.149,0.149,0.002,0.149,269,-1,1521,193,784,133,87601,301,0.9892,9.2517,29.857,277,0.7188,180,45117.85040019565,-75088.71270880575
KB425000,CBCMP,A1VXY.JI,17,84,21,REAL,0.198,0.198,0.01,0.198,728,-1,3896,341,737,387,145285,326,1.0,5.8666,88.6305,520,0.8496,184,120446.72372865926,-81242.34098074741
KB425000,CBCMP,A1VXY.JI,17,86,21,REAL,0.149,0.099,0.0086,0.149,530,-1,3164,168,857,430,110966,303,1.0,1.7314,170.4102,296,0.9111,-505,60436.415159477445,-93063.91824263195
KB425000,CBCMP,A1VXY.JI,17,88,21,REAL,0.149,0.149,0.0023,0.149,275,-1,1555,145,832,165,138508,304,1.0,9.5414,26.0578,249,1.0,191,77452.69067392623,-114828.3360994537
KB425000,CBCMP,A1VXY.JI,17,89,21,REAL,0.149,0.099,0.002,0.149,271,-1,1664,149,824,157,138479,304,1.0,9.5414,26.4258,253,1.0,176,77436.47407972558,-114804.2940098496
KB425000,CBCMP,A1VXY.JI,17,97,21,REAL,0.099,0.099,0.0019,0.099,277,-1,1592,119,830,163,141044,304,1.0,8.1277,27.3041,222,1.0,131,78870.80387712804,-116930.77538345329
KB425000,CBCMP,A1VXY.JI,17,99,21,REAL,0.149,0.099,0.0007,0.149,98,-1,528,50,691,92,141092,272,1.0,6.8097,13.6556,93,1.0,44,4924.039788749311,-141006.05056577825
KB425000,CBCMP,A1VXY.JI,17,121,21,REAL,0.198,0.149,0.0047,0.198,259,-1,1568,188,813,162,36574,182,1.0,8.5172,30.9389,263,1.0,169,-36551.72010739641,-1276.414192397268
KB425000,CBCMP,A1VXY.JI,17,126,21,REAL,0.198,0.149,0.0053,0.198,451,-1,2701,185,882,359,1227,347,1.0,3.8375,90.6702,348,0.75,177,1195.5520694914835,-276.0149436799228
KB425000,CBCMP,A1VXY.JI,17,138,21,REAL,0.099,0.099,0.0024,0.099,324,-1,2167,118,895,237,144867,179,1.0,6.2717,40.6942,256,1.0,66,-144844.93605422095,2528.27776334994
KB425000,CBCMP,A1VXY.JI,17,150,21,REAL,0.248,0.198,0.0033,0.248,287,-1,1741,223,852,137,54886,161,1.0,7.8245,36.5044,286,1.0,204,-51895.73254034411,17869.133725535496
KB425000,CBCMP,A1VXY.JI,17,153,21,REAL,0.497,0.248,0.0125,0.497,630,-1,3896,464,861,176,138424,16,1.0,7.3762,71.2843,526,1.0,439,133061.68899856586,38154.82534161229
KB425000,CBCMP,A1VXY.JI,17,156,21,REAL,0.248,0.745,0.0166,0.745,572,-1,3227,405,813,223,112872,148,1.0,3.5634,128.3391,458,1.0,-42,-95720.88470936811,59813.047192530306
KB425000,CBCMP,A1VXY.JI,17,159,21,REAL,0.049,0.049,0.001,0.049,243,-1,1520,105,755,222,100813,139,1.0,5.201,44.3016,231,1.0,57,-76084.53691099831,66139.27888962
KB425000,CBCMP,A1VXY.JI,17,161,21,REAL,0.646,0.447,0.0134,0.646,352,-1,1841,242,814,152,111134,36,1.0,5.3865,58.9206,318,1.0,254,89909.29465286541,65322.92622827171
KB425000,CBCMP,A1VXY.JI,17,162,21,REAL,0.198,0.099,0.0028,0.198,327,-1,1884,165,882,206,104176,50,1.0,6.8321,42.1392,288,1.0,160,66963.04202670492,79803.44590636266
KB425000,CBCMP,A1VXY.JI,17,164,21,REAL,0.099,0.099,0.0015,0.099,199,-1,1091,113,866,130,97300,124,1.0,6.2529,28.6724,180,1.0,51,-54409.46950770365,80665.35580960556
KB425000,CBCMP,A1VXY.JI,17,165,39,REAL,0.049,0.049,0.0009,0.049,237,1,1189,111,901,175,82710,84,1.0,9.8427,20.3306,201,1.0,110,8645.549196867618,82256.90596590989
KB425000,CBCMP,A1VXY.JI,17,168,21,REAL,0.198,0.198,0.0034,0.198,310,-1,1578,222,772,131,133241,108,1.0,8.3942,33.0761,278,1.0,209,-41173.73334751236,126719.72128768257
KB425000,CBCMP,A1VXY.JI,18,4,21,REAL,0.049,0.049,0.0007,0.049,186,1,1352,125,941,208,114808,354,1.0,5.3547,41.4273,221,1.0,100,114179.06976344073,-12000.703810832752
KB425000,CBCMP,A1VXY.JI,18,5,56,REAL,0.049,0.099,0.001,0.099,184,1,1327,137,986,126,118176,345,1.0,8.5815,23.7047,203,1.0,117,114149.25044753694,-30586.199474035486
KB425000,CBCMP,A1VXY.JI,18,6,21,REAL,0.049,0.099,0.0018,0.099,397,1,988,202,1656,246,79627,320,0.9217,7.7646,42.3154,329,1.0,124,60997.82087223484,-51183.24899651009
KB425000,CBCMP,A1VXY.JI,18,8,21,REAL,0.149,0.347,0.005,0.347,332,-1,2179,183,914,231,76295,223,1.0,3.4863,87.9364,307,1.0,-95,-55798.630665034616,-52033.06488096831
KB425000,CBCMP,A1VXY.JI,18,12,21,REAL,0.099,0.099,0.003,0.099,413,-1,2506,161,937,488,129174,213,1.0,3.8888,107.3083,417,1.0,60,-108334.43194378221,-70353.2027090311
KB425000,CBCMP,A1VXY.JI,18,16,39,REAL,0.248,0.298,0.0168,0.298,861,1,4178,750,2915,91,131882,325,0.9777,10.4126,76.5027,797,0.8125,721,108031.40990492079,-75644.40757884871
KB425000,CBCMP,A1VXY.JI,18,18,99,REAL,0.099,0.099,0.0014,0.099,226,-1,880,153,865,225,91630,237,1.0,8.5407,26.6709,227,0.2627,119,-49905.27477842692,-76847.38414083922
KB425000,CBCMP,A1VXY.JI,18,19,21,REAL,0.646,0.646,0.0102,0.646,193,1,1201,53,1125,205,139560,325,1.0,3.9951,45.1893,181,1.0,165,114320.85930097167,-80048.32745715205
KB425000,CBCMP,A1VXY.JI,18,20,21,REAL,0.099,0.149,0.001,0.149,120,1,621,46,1048,121,139607,325,1.0,5.3801,20.3813,110,1.0,36,114359.35944705324,-80075.28554966055
KB425000,CBCMP,A1VXY.JI,18,21,21,REAL,0.049,0.049,0.0007,0.049,162,1,230,21,1139,351,92539,271,1.0,2.3021,86.589,199,1.0,21,1615.0282392997435,-92524.90586207728
KB425000,CBCMP,A1VXY.JI,18,30,21,REAL,0.198,0.198,0.0044,0.198,264,1,824,189,952,161,117200,302,0.9872,8.3022,32.8104,273,0.5938,147,62106.53776813159,-99391.23686953314
KB425000,CBCMP,A1VXY.JI,18,35,99,REAL,0.099,0.149,0.0021,0.149,337,-1,1194,171,596,99,114050,264,0.9966,8.3221,37.6965,314,0.1641,181,-11921.471235675866,-113425.22216675158
KB425000,CBCMP,A1VXY.JI,18,38,39,REAL,0.198,0.198,0.0029,0.198,432,1,2265,368,936,115,127240,290,1.0,11.9178,35.6274,425,1.0,375,43518.64303675812,-119566.48906879897
KB425000,CBCMP,A1VXY.JI,18,39,21,REAL,0.198,0.149,0.0009,0.198,89,1,525,46,1068,85,131015,292,1.0,6.9533,12.508,87,1.0,47,49079.08283638571,-121474.99270606766
KB425000,CBCMP,A1VXY.JI,18,40,56,REAL,0.099,0.149,0.0005,0.149,90,1,484,44,1062,89,142379,279,1.0,8.2164,10.7031,88,1.0,46,22272.982697963,-140626.07824559513
KB425000,CBCMP,A1VXY.JI,18,41,21,REAL,0.149,0.149,0.0018,0.149,279,-1,1533,187,946,141,1650,77,1.0,9.1428,27.4716,252,1.0,186,371.1692396673771,1607.7106068956382
KB425000,CBCMP,A1VXY.JI,18,42,99,REAL,0.497,0.198,0.0154,0.497,597,1,1234,188,1017,193,125778,172,0.9983,5.6653,93.269,529,0.8125,319,-124553.93715017724,17504.914292555095
KB425000,CBCMP,A1VXY.JI,18,45,99,REAL,0.099,0.049,0.001,0.099,194,-1,313,153,880,205,96169,137,0.9948,8.2031,23.1434,190,0.1465,131,-70333.55413101401,65587.10028885042
KB425000,CBCMP,A1VXY.JI,18,46,21,REAL,0.347,0.248,0.0068,0.347,318,1,1836,197,1074,280,123809,33,1.0,5.0692,57.4926,292,0.75,76,103834.964346755,67431.21428617548
KB425000,CBCMP,A1VXY.JI,18,47,99,REAL,0.049,0.049,0.0007,0.049,195,1,949,121,743,127,89314,107,1.0,10.0548,19.0831,192,1.0,122,-26112.886435606502,85411.40297408255
KB425000,CBCMP,A1VXY.JI,18,49,21,REAL,0.447,0.198,0.0081,0.447,569,-1,3266,455,546,82,109625,79,1.0,3.4778,199.8309,694,0.1465,404,20917.436118153735,107610.87998545017
KB425000,CBCMP,A1VXY.JI,18,50,21,REAL,0.099,1.242,0.0133,1.242,364,1,2858,222,1011,186,109630,79,0.9711,1.5898,128.0065,413,0.3438,0,20918.390163130618,107615.7881213674
KB425000,CBCMP,A1VXY.JI,18,54,21,REAL,0.298,0.198,0.0125,0.298,708,-1,3999,241,884,542,62606,185,1.0,3.3985,174.2245,593,1.0,-96,-62367.76526873182,-5456.472430459873
KB425000,CBCMP,A1VXY.JI,18,62,21,REAL,0.099,0.049,0.0013,0.099,205,-1,237,28,507,294,51282,323,1.0,2.5182,67.8848,171,0.7188,7,40955.62622624527,-30862.27801728334
KB425000,CBCMP,A1VXY.JI,18,63,21,REAL,0.049,0.049,0.0009,0.049,198,-1,233,21,515,294,51282,323,1.0,2.3507,69.0686,163,0.7813,-7,40955.62622624527,-30862.27801728334
KB425000,CBCMP,A1VXY.JI,18,65,56,REAL,0.198,0.149,0.0019,0.198,250,-1,1548,199,761,136,81026,293,1.0,8.7999,28.7337,252,1.0,202,31659.380416971875,-74584.82625583744
KB425000,CBCMP,A1VXY.JI,18,70,21,REAL,0.149,0.099,0.0015,0.149,205,-1,1286,111,775,151,138633,316,1.0,8.1464,24.2937,198,1.0,121,99724.23454034819,-96302.5738718422
KB425000,CBCMP,A1VXY.JI,18,83,21,REAL,0.298,0.198,0.0047,0.298,447,-1,2643,361,833,147,1703,77,1.0,9.4911,44.4525,422,1.0,384,383.09164554760196,1659.3522203292557
KB425000,CBCMP,A1VXY.JI,18,86,21,REAL,0.099,0.149,0.0058,0.149,638,-1,3933,132,801,638,139868,17,1.0,2.8759,209.2297,602,1.0,-408,133756.43360703785,40893.44559615975
KB425000,CBCMP,A1VXY.JI,18,90,21,REAL,0.447,0.149,0.0059,0.447,387,-1,2123,292,804,196,100468,60,1.0,6.1693,66.0913,407,1.0,264,50234.000000000015,87007.84026741498
KB425000,CBCMP,A1VXY.JI,18,92,21,REAL,0.099,0.099,0.0009,0.099,156,-1,1095,112,801,128,134054,100,0.9934,8.2444,21.2019,174,1.0,67,-23278.232808962675,132017.41852229854
KB425000,CBCMP,A1VXY.JJ,19,1,21,REAL,0.099,0.099,0.0013,0.099,207,-1,1317,139,893,128,22815,333,0.9954,10.0635,21.1077,213,1.0,142,20328.31384935761,-10357.793251557765
KB425000,CBCMP,A1VXY.JJ,19,2,99,REAL,0.198,0.149,0.0021,0.198,177,-1,618,124,1060,60,58392,192,1.0,4.5597,33.7687,154,0.0889,59,-57115.994702048374,-12140.379450230614
KB425000,CBCMP,A1VXY.JJ,19,3,39,REAL,0.447,0.149,0.0129,0.447,477,1,1911,397,783,128,119638,346,1.0,7.6981,56.9031,439,0.1875,325,116084.24010020767,-28943.051745753066
KB425000,CBCMP,A1VXY.JJ,19,4,99,REAL,0.646,0.795,0.0555,0.795,1846,1,5749,1731,2525,82,80711,202,0.9896,6.2451,268.8945,1680,0.375,1625,-74833.93608593997,-30234.872761191673
KB425000,CBCMP,A1VXY.JJ,19,6,99,REAL,0.049,0.099,0.0016,0.099,317,1,1258,181,1359,222,55319,220,1.0,8.3693,36.1294,303,1.0,167,-42376.81254889874,-35558.36778024967
KB425000,CBCMP,A1VXY.JJ,19,7,21,REAL,0.099,0.049,0.0018,0.099,367,1,1158,216,1559,196,51932,272,1.0,8.6496,39.3022,340,1.0,137,1812.4006627542965,-51900.36442875568
KB425000,CBCMP,A1VXY.JJ,19,8,21,REAL,0.049,0.099,0.0012,0.099,201,1,1194,125,1163,128,72547,277,1.0,5.3678,35.3477,190,1.0,-13,8841.25525601325,-72006.24566312299
KB425000,CBCMP,A1VXY.JJ,19,9,21,REAL,0.049,0.099,0.0012,0.099,217,1,1201,141,1161,128,72547,277,0.9903,5.8546,33.943,199,1.0,16,8841.25525601325,-72006.24566312299
KB425000,CBCMP,A1VXY.JJ,19,10,99,REAL,0.049,0.099,0.0011,0.099,241,-1,604,138,930,145,77380,249,1.0,9.3226,23.5224,220,0.5625,96,-27730.511935815368,-72240.45340235347
KB425000,CBCMP,A1VXY.JJ,19,11,99,REAL,0.049,0.049,0.0005,0.049,194,-1,286,128,1111,117,110418,318,0.9998,13.4283,15.582,209,1.0,151,82056.56533956292,-73884.06329293239
KB425000,CBCMP,A1VXY.JJ,19,14,39,REAL,0.049,0.049,0.0007,0.049,173,1,1117,169,2404,119,101688,256,0.9326,5.7028,31.0051,196,0.3438,0,-24600.55371973902,-98667.43181355353
KB425000,CBCMP,A1VXY.JJ,19,50,99,REAL,0.049,0.049,0.0003,0.049,226,-1,493,148,1054,136,70366,180,1.0,14.9227,14.4001,215,1.0,181,-70366.0,8.617349666880265e-12
KB425000,CBCMP,A1VXY.JJ,19,51,99,REAL,0.049,0.049,0.0006,0.049,213,-1,573,125,845,133,48396,3,1.0,7.5888,23.1549,176,0.5625,56,48329.674963982354,2532.85093833351
KB425000,CBCMP,A1VXY.JJ,19,52,99,REAL,0.298,0.248,0.01,0.298,991,1,2019,977,2696,94,93607,2,0.9769,10.6958,95.845,1026,0.5625,889,93549.9771447765,3266.837187831008
KB425000,CBCMP,A1VXY.JJ,19,53,99,REAL,0.049,0.049,0.0008,0.049,187,-1,1084,135,855,130,53683,22,1.0,6.4204,26.0488,168,0.1875,62,49774.01086470885,20110.005754346406
KB425000,CBCMP,A1VXY.JJ,19,54,21,REAL,0.298,0.347,0.0091,0.347,390,-1,2376,166,955,315,145373,8,0.9947,3.9835,75.7576,302,0.7939,90,143958.23995716832,20232.01120586759
KB425000,CBCMP,A1VXY.JJ,19,55,99,REAL,0.099,0.198,0.0024,0.198,265,1,1533,206,1060,143,28560,130,1.0,7.7303,33.4338,259,0.4063,141,-18358.014132647564,21878.229295478013
KB425000,CBCMP,A1VXY.JJ,19,59,99,REAL,0.248,0.397,0.0084,0.397,565,1,2418,399,1042,234,114543,149,0.7652,3.8112,128.8521,492,1.0,-527,-98182.51412432204,58994.006214422356
KB425000,CBCMP,A1VXY.JJ,19,60,99,REAL,0.298,0.347,0.0128,0.347,1088,1,5005,1025,1787,130,114542,149,0.576,7.8844,129.0827,1018,1.0,527,-98181.65695702133,58993.49117634745
KB425000,CBCMP,A1VXY.JJ,19,238,99,REAL,0.596,0.695,0.1617,0.695,2375,1,9407,2272,3059,107,129921,152,1.0,5.2287,418.8597,2191,0.625,2124,-114713.43421182466,60994.214908705704
KB425000,CBCMP,A1VXY.JJ,19,259,99,REAL,0.745,0.994,0.0588,0.994,1952,1,3213,1830,2993,159,123832,151,0.9696,5.9671,299.7922,1789,0.625,1750,-108305.90757448565,60034.94489434442
KB425000,CBCMP,A1VXY.JJ,19,288,99,REAL,0.695,0.397,0.0552,0.695,798,1,1816,796,1576,136,124050,150,0.9757,6.2301,141.4258,882,0.5313,709,-107430.45133945963,62024.99999999999
KB425000,CBCMP,A1VXY.JJ,19,314,99,REAL,0.646,0.745,0.0541,0.745,2142,1,4350,1981,2888,140,130774,148,0.9879,5.2521,364.6954,1916,0.5313,1897,-110902.64172676044,69299.66186083313
KB425000,CBCMP,A1VXY.JJ,19,317,99,REAL,0.099,0.099,0.0011,0.099,184,1,1094,133,1069,116,85080,82,0.9944,8.0282,22.9754,184,0.4844,82,11840.84742968237,84252.00728853281
KB425000,CBCMP,A1VXY.JJ,19,330,21,REAL,0.049,0.049,0.0008,0.049,194,1,989,112,878,174,32052,265,0.9621,9.3196,19.3736,181,1.0,88,-2793.515866547942,-31930.03246323663
KB425000,CBCMP,A1VXY.JJ,19,332,56,REAL,0.198,0.248,0.0048,0.248,398,-1,2436,253,778,217,71405,268,1.0,6.9263,53.4392,371,1.0,138,-2491.9985620420666,-71361.50200329853
KB425000,CBCMP,A1VXY.JJ,19,333,21,REAL,0.347,0.745,0.0099,0.745,194,-1,1131,128,821,157,75681,253,1.0,4.4902,40.1208,181,1.0,68,-22126.982985121467,-72374.10023603847
